2025-10-21 09:26:59,449 | ERROR | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: FAKE_SYNTH"}}}
2025-10-21 09:26:59,658 | ERROR | yfinance | 
1 Failed download:
2025-10-21 09:26:59,658 | ERROR | yfinance | ['FAKE_SYNTH']: YFTzMissingError('possibly delisted; no timezone found')
2025-10-21 09:26:59,664 | WARNING | logos.data_loader | Yahoo Finance returned no rows for FAKE_SYNTH [1d]. Using fallback data.
2025-10-21 14:54:25,798 | INFO | __main__ | Starting backtest via CLI
2025-10-21 14:54:25,809 | INFO | logos.data_loader | Loaded fixture data for MSFT [1d] from /home/mical/code/chat_solution_system/Logos-Q1/input_data/raw/MSFT.csv
2025-10-21 14:54:25,813 | WARNING | logos.data_loader | No rows available after clipping MSFT [1d] to 2024-11-03 -> 2024-11-03; generating synthetic data.
2025-10-21 14:54:32,883 | INFO | __main__ | Using dates from environment: START=2024-01-01T00:00:00+00:00, END=2024-02-01T00:00:00+00:00
2025-10-21 14:54:32,884 | INFO | __main__ | Starting backtest via CLI
2025-10-21 14:54:32,884 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 14:54:32,893 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 14:54:33,728 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 14:57:39,498 | INFO | __main__ | Using dates from environment: START=2024-01-01T00:00:00+00:00, END=2024-02-01T00:00:00+00:00
2025-10-21 14:57:39,499 | INFO | __main__ | Starting backtest via CLI
2025-10-21 14:57:39,499 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 14:57:39,507 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 14:57:40,334 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 17:47:50,698 | INFO | __main__ | Using dates from environment: START=2024-01-01T00:00:00+00:00, END=2024-02-01T00:00:00+00:00
2025-10-21 17:47:50,699 | INFO | __main__ | Starting backtest via CLI
2025-10-21 17:47:50,699 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 17:47:50,709 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 17:47:51,695 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 18:01:13,050 | INFO | __main__ | Using dates from environment: START=2024-01-01T00:00:00+00:00, END=2024-02-01T00:00:00+00:00
2025-10-21 18:01:13,051 | INFO | __main__ | Starting backtest via CLI
2025-10-21 18:01:13,051 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 18:01:13,060 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 18:01:14,308 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 18:16:57,150 | INFO | __main__ | Using dates from environment: START=2024-01-01T00:00:00+00:00, END=2024-02-01T00:00:00+00:00
2025-10-21 18:16:57,150 | INFO | __main__ | Starting backtest via CLI
2025-10-21 18:16:57,151 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 18:16:57,159 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 18:16:57,849 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 18:19:37,919 | INFO | __main__ | Using dates from environment: START=2024-01-01T00:00:00+00:00, END=2024-02-01T00:00:00+00:00
2025-10-21 18:19:37,920 | INFO | __main__ | Starting backtest via CLI
2025-10-21 18:19:37,921 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 18:19:37,929 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 18:19:38,635 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 18:22:15,836 | INFO | __main__ | Using dates from environment: START=2024-01-01T00:00:00+00:00, END=2024-02-01T00:00:00+00:00
2025-10-21 18:22:15,837 | INFO | __main__ | Starting backtest via CLI
2025-10-21 18:22:15,837 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 18:22:15,846 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 18:22:16,760 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 22:12:52,018 | INFO | __main__ | Using dates from environment: START=2024-01-01T00:00:00+00:00, END=2024-02-01T00:00:00+00:00
2025-10-21 22:12:52,019 | INFO | __main__ | Starting backtest via CLI
2025-10-21 22:12:52,020 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 22:12:52,020 | INFO | logos.symbols | symbol_normalized input=DEMO canonical=DEMO asset=equity source=data_loader.get_prices
2025-10-21 22:12:52,026 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 22:12:52,635 | INFO | core.io.dirs | created dir path=/home/mical/code/Logos-Q1/runs/2025-10-21_221252_DEMO_mean_reversion/logs rel=runs/2025-10-21_221252_DEMO_mean_reversion/logs mode=0750 source=auto component=core.io created=true mode_applied=true
2025-10-21 22:12:52,636 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 22:19:51,145 | INFO | __main__ | Using dates from environment: START=2024-01-01T00:00:00+00:00, END=2024-02-01T00:00:00+00:00
2025-10-21 22:19:51,146 | INFO | __main__ | Starting backtest via CLI
2025-10-21 22:19:51,147 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 22:19:51,147 | INFO | logos.symbols | symbol_normalized input=DEMO canonical=DEMO asset=equity source=data_loader.get_prices
2025-10-21 22:19:51,153 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 22:19:51,790 | INFO | core.io.dirs | created dir path=/home/mical/code/Logos-Q1/runs/2025-10-21_221951_DEMO_mean_reversion/logs rel=runs/2025-10-21_221951_DEMO_mean_reversion/logs mode=0750 source=auto component=core.io created=true mode_applied=true
2025-10-21 22:19:51,791 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 22:23:46,532 | INFO | __main__ | Using dates from environment: START=2024-01-01T00:00:00+00:00, END=2024-02-01T00:00:00+00:00
2025-10-21 22:23:46,533 | INFO | __main__ | Starting backtest via CLI
2025-10-21 22:23:46,533 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 22:23:46,534 | INFO | logos.symbols | symbol_normalized input=DEMO canonical=DEMO asset=equity source=data_loader.get_prices
2025-10-21 22:23:46,540 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 22:23:47,252 | INFO | core.io.dirs | created dir path=/home/mical/code/Logos-Q1/runs/2025-10-21_222347_DEMO_mean_reversion/logs rel=runs/2025-10-21_222347_DEMO_mean_reversion/logs mode=0750 source=auto component=core.io created=true mode_applied=true
2025-10-21 22:23:47,253 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 22:25:04,688 | INFO | __main__ | Using dates from environment: START=2024-01-01T00:00:00+00:00, END=2024-02-01T00:00:00+00:00
2025-10-21 22:25:04,689 | INFO | __main__ | Starting backtest via CLI
2025-10-21 22:25:04,690 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 22:25:04,690 | INFO | logos.symbols | symbol_normalized input=DEMO canonical=DEMO asset=equity source=data_loader.get_prices
2025-10-21 22:25:04,697 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 22:25:06,059 | INFO | core.io.dirs | created dir path=/home/mical/code/Logos-Q1/runs/2025-10-21_222506_DEMO_mean_reversion/logs rel=runs/2025-10-21_222506_DEMO_mean_reversion/logs mode=0750 source=auto component=core.io created=true mode_applied=true
2025-10-21 22:25:06,059 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 22:40:58,580 | INFO | __main__ | Using dates from environment: START=2024-01-01T00:00:00+00:00, END=2024-02-01T00:00:00+00:00
2025-10-21 22:40:58,581 | INFO | __main__ | Starting backtest via CLI
2025-10-21 22:40:58,581 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 22:40:58,581 | INFO | logos.symbols | symbol_normalized input=DEMO canonical=DEMO asset=equity source=data_loader.get_prices
2025-10-21 22:40:58,588 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
